id_client;id_vehicle;id_year;id_claim;claim_nb;claim_amount
A00047578;V01;Year 0;CL01;1;amount= 1236
A00058432;V01;Year 0;CL01;1;amount= 59.84
A00047550;V01;Year 0;CL02;1;amount= 2683.76
A00012792;V01;Year 0;CL01;1;amount= 84.05
A00032112;V01;Year 0;CL01;1;amount= 104.49
A00029668;V01;Year 0;CL01;1;amount= 376.31
A00090437;V01;Year 0;CL01;1;amount= 440.39
A00084815;V01;Year 0;CL01;1;amount= 1010.41
A00043912;V01;Year 0;CL01;1;amount= 426.08
A00015097;V01;Year 0;CL01;1;amount= 142.14
A00036636;V01;Year 0;CL02;1;amount= 2765.79
A00049278;V01;Year 0;CL01;1;amount= 200.41
A00040436;V01;Year 0;CL01;1;amount= 77.86
A00026708;V01;Year 0;CL02;1;amount= 3073.88
A00031023;V01;Year 0;CL01;1;amount= 1236
A00049985;V01;Year 0;CL01;1;amount= 160.16
A00021571;V01;Year 0;CL01;1;amount= 2458.3
A00065860;V01;Year 0;CL01;1;amount= 56.19
A00086586;V01;Year 0;CL01;1;amount= 88.71
A00008013;V01;Year 0;CL01;1;amount= -774.17
A00062006;V01;Year 0;CL01;1;amount= 1010.41
A00037300;V01;Year 0;CL02;1;amount= 3402.57
A00047579;V01;Year 0;CL01;1;amount= 634.59
A00065559;V01;Year 0;CL01;1;amount= 56.19
A00025536;V01;Year 0;CL01;1;amount= -602.45
A00012418;V01;Year 0;CL02;1;amount= 102.91
A00035395;V01;Year 0;CL02;1;amount= 104.02
A00032635;V01;Year 0;CL01;1;amount= -914.93
A00073419;V01;Year 0;CL01;1;amount= 1236
A00036943;V01;Year 0;CL01;1;amount= 331.18
A00069906;V01;Year 0;CL01;1;amount= 5759.12
A00090449;V01;Year 0;CL01;1;amount= 67.7
A00006955;V01;Year 0;CL01;1;amount= 111.31
A00001318;V01;Year 0;CL02;1;amount= 2683.76
A00058274;V01;Year 0;CL01;1;amount= 1236
A00006975;V01;Year 0;CL01;1;amount= 0
A00002265;V01;Year 0;CL02;1;amount= 0
A00017160;V01;Year 0;CL01;1;amount= 0
A00049977;V01;Year 0;CL01;1;amount= 640.08
A00043647;V01;Year 0;CL02;1;amount= 1137.09
A00020687;V01;Year 0;CL01;1;amount= 963.35
A00080202;V01;Year 0;CL02;1;amount= 543.52
A00028880;V01;Year 0;CL01;1;amount= -410.96
